time,x,y,yaw,v,a,phi
0.000000000000000000e+00,-3.880862963697536028e+00,1.985634535125329503e+00,-2.675281881450639054e-01,0.000000000000000000e+00,1.458816991925305562e+00,0.000000000000000000e+00
5.000000000000000278e-02,-3.880862963697536028e+00,1.985634535125329503e+00,-2.675281881450639054e-01,7.294084959626527531e-02,1.343598932409067803e+00,5.740878609529156962e-02
1.000000000000000056e-01,-3.877345656506616223e+00,1.984670445412560325e+00,-2.672952963679037786e-01,1.401207962167186627e-01,1.296705738282287967e+00,-2.697059582351364528e-03
1.500000000000000222e-01,-3.870588409578260780e+00,1.982819983907894823e+00,-2.673162916485958829e-01,2.049560831308330777e-01,1.326037388663094063e+00,-5.109261206951226653e-02
2.000000000000000111e-01,-3.860704574076812445e+00,1.980113087934433524e+00,-2.678985618249747347e-01,2.712579525639877698e-01,1.209170332986697627e+00,7.871627038641403409e-03
2.500000000000000000e-01,-3.847625474669882362e+00,1.976522913735782039e+00,-2.677799348507201027e-01,3.317164692133226511e-01,1.069053699788237388e+00,6.190240025967106569e-02
2.999999999999999889e-01,-3.831630758646094481e+00,1.972134451683220657e+00,-2.666376951785251470e-01,3.851691542027345094e-01,9.058002975972537785e-01,-1.635897547968312438e-01
3.499999999999999778e-01,-3.813052850935309657e+00,1.967060051377500507e+00,-2.701698002225533246e-01,4.304591690825971817e-01,8.441783126010333760e-01,-4.346423404419259562e-01
3.999999999999999667e-01,-3.792310625070102414e+00,1.961315679629874076e+00,-2.812721034198391035e-01,4.726680847126488727e-01,9.015069686595150733e-01,-5.782674971949224307e-01
4.499999999999999556e-01,-3.769605940172387371e+00,1.954755566867102168e+00,-2.984114442038657833e-01,5.177434331456246541e-01,8.915945627221406600e-01,-5.722522070226196966e-01
4.999999999999999445e-01,-3.744862858955976481e+00,1.947144680694544050e+00,-3.169394870999104885e-01,5.623231612817316538e-01,8.306615833217377842e-01,-5.424814987265322852e-01
5.499999999999999334e-01,-3.718147062527160429e+00,1.938382000427709695e+00,-3.357713085061897473e-01,6.038562404478184931e-01,7.699052390875942287e-01,-7.204976304495487316e-01
5.999999999999999778e-01,-3.689640324424968476e+00,1.928433544236295871e+00,-3.652243535627331394e-01,6.423515024021981823e-01,7.053946145014278191e-01,-7.028797227702380246e-01
6.500000000000000222e-01,-3.659641107176143660e+00,1.916962467736955444e+00,-3.954585221326142319e-01,6.776212331272695177e-01,6.520566286235418563e-01,-6.581656659769876683e-01
7.000000000000000666e-01,-3.628374985036079359e+00,1.903910420185521923e+00,-4.245649841448411732e-01,7.102240645584465550e-01,6.104903230304581374e-01,-7.782835221077014642e-01
7.500000000000001110e-01,-3.596016536997745927e+00,1.889282488163350315e+00,-4.634643902567333051e-01,7.407485807099694064e-01,5.602529131373349403e-01,-7.341719974622569200e-01
8.000000000000001554e-01,-3.562886219170060986e+00,1.872724916173588161e+00,-5.006030131867292843e-01,7.687612263668361923e-01,5.146359284221558861e-01,-6.797158984890989686e-01
8.500000000000001998e-01,-3.529164765417061922e+00,1.854276390088912763e+00,-5.351200334155282734e-01,7.944930227879439810e-01,4.783530004116300360e-01,-7.633923455483930809e-01
9.000000000000002442e-01,-3.494993325546802421e+00,1.834019030800494665e+00,-5.773574549775569720e-01,8.184106728085255300e-01,4.393476811097888901e-01,-7.070534815205811174e-01
9.500000000000002887e-01,-3.460705686906892620e+00,1.811684127399848077e+00,-6.162055098919515528e-01,8.403780568640150106e-01,4.098094033742408215e-01,-7.668637442923440517e-01
1.000000000000000222e+00,-3.426415013101490104e+00,1.787399607925133083e+00,-6.611938240146845169e-01,8.608685270327270933e-01,3.773547333786529956e-01,-6.998463008592803458e-01
1.050000000000000266e+00,-3.392442570682488778e+00,1.760968381919205905e+00,-7.014645685305449518e-01,8.797362637016596931e-01,3.427946332118617656e-01,-6.379233181706871481e-01
1.100000000000000311e+00,-3.358841137941017685e+00,1.732582056832999484e+00,-7.376960627590664066e-01,8.968759953622528203e-01,3.221852190061745280e-01,-6.877798934454502078e-01
1.150000000000000355e+00,-3.325655824104496894e+00,1.702420801500799108e+00,-7.786339938562718554e-01,9.129852563125615550e-01,2.978088121452475701e-01,-6.345586119562727223e-01
1.200000000000000400e+00,-3.293159320943392032e+00,1.670360974958682521e+00,-8.159710366589715269e-01,9.278756969198239668e-01,2.757849700417385197e-01,-6.873216129426161780e-01
1.250000000000000444e+00,-3.261372089347414516e+00,1.636568147616185520e+00,-8.582843941310012159e-01,9.416649454219109261e-01,2.552504898369488129e-01,-6.350899860956047416e-01
1.300000000000000488e+00,-3.230592044227733606e+00,1.600939212801606226e+00,-8.968371876813069354e-01,9.544274699137583751e-01,2.372329328291346850e-01,-6.849195739686366746e-01
1.350000000000000533e+00,-3.200809880864460055e+00,1.563651785514137860e+00,-9.401486071633629038e-01,9.662891165552150996e-01,2.195479518468959335e-01,-6.347614423315053322e-01
1.400000000000000577e+00,-3.172320391861572109e+00,1.524630821170762651e+00,-9.796823323204379985e-01,9.772665141475599393e-01,2.071604555119178626e-01,-6.634489803807959163e-01
1.450000000000000622e+00,-3.145089527877371616e+00,1.484058605975394407e+00,-1.022119924536719626e+00,9.876245369231558824e-01,1.891750236958715248e-01,-6.119894484572665494e-01
1.500000000000000666e+00,-3.119334335602190755e+00,1.441925772748798407e+00,-1.060630930983777365e+00,9.970832881079494392e-01,1.774828915749775415e-01,-6.473985549526777294e-01
1.550000000000000711e+00,-3.094989470846867707e+00,1.398419850524284858e+00,-1.102514391847811082e+00,1.005957432686698239e+00,1.619091754079767242e-01,-6.227463363249714501e-01
1.600000000000000755e+00,-3.072287333068692838e+00,1.353536793239327185e+00,-1.142644448847971672e+00,1.014052891457096983e+00,1.476210211916875736e-01,-5.544047582196984791e-01
1.650000000000000799e+00,-3.051236091328876299e+00,1.307410841889863784e+00,-1.177526863382789113e+00,1.021433942516681403e+00,1.392818959467260753e-01,-5.896290194677671348e-01
1.700000000000000844e+00,-3.031664889211405089e+00,1.260237901606370503e+00,-1.215491207270626095e+00,1.028398037314017799e+00,1.245565558610991219e-01,-5.392066433837401362e-01
1.750000000000000888e+00,-3.013777116635428577e+00,1.212029666831091257e+00,-1.249676969914436997e+00,1.034625865107072773e+00,1.170781913450048839e-01,-5.604529765159885768e-01
1.800000000000000933e+00,-2.997449225629635450e+00,1.162942737031251950e+00,-1.285749818051739268e+00,1.040479774674323066e+00,1.084839524908479957e-01,-4.930858310947911494e-01
1.850000000000000977e+00,-2.982819971598007491e+00,1.113017990359446818e+00,-1.316811518178915730e+00,1.045903972298865447e+00,1.023178765407511126e-01,-5.022531160247780679e-01
1.900000000000001021e+00,-2.969680127533695924e+00,1.062400480581288553e+00,-1.348725049575970392e+00,1.051019866125902924e+00,9.147890831856636540e-02,-4.591686323780584389e-01
1.950000000000001066e+00,-2.958105744579562657e+00,1.011139964033858529e+00,-1.377593864889896436e+00,1.055593811541831295e+00,8.672226266809576756e-02,-4.490373028186750437e-01
2.000000000000000888e+00,-2.947971898722720585e+00,9.593422719466304649e-01,-1.405852596920626807e+00,1.059929924675236057e+00,7.710017196538233863e-02,-4.134373537046888147e-01
2.050000000000000711e+00,-2.939270042313195219e+00,9.070650655552868757e-01,-1.431686858993765021e+00,1.063784933273505207e+00,7.328984653797564197e-02,-3.836027649759028435e-01
2.100000000000000533e+00,-2.931894755405497488e+00,8.543896338657560596e-01,-1.455539061055388217e+00,1.067449425600403901e+00,6.774820698513510375e-02,-3.539238333170718898e-01
2.150000000000000355e+00,-2.925756801064868018e+00,8.013712766010413491e-01,-1.477450332317928883e+00,1.070836835949660726e+00,6.472883842964267942e-02,-3.194987413637506712e-01
2.200000000000000178e+00,-2.920766139637705372e+00,7.480625332132430083e-01,-1.497131908303424463e+00,1.074073277871142817e+00,5.675063454993721501e-02,-2.945321761886069978e-01
2.250000000000000000e+00,-2.916813667377055719e+00,6.945045134718359492e-01,-1.515233341172415260e+00,1.076910809598639718e+00,5.455259745793786946e-02,-2.548813656849511222e-01
2.299999999999999822e+00,-2.913823387561147005e+00,6.407420688083111937e-01,-1.530821510264203544e+00,1.079638439471536593e+00,4.739647181910373874e-02,-2.426934090822080448e-01
2.349999999999999645e+00,-2.911666044808651765e+00,5.868032722680694979e-01,-1.545670935320174966e+00,1.082008263062491871e+00,4.596583954031502328e-02,-1.870242702267558288e-01
