time,x,y,yaw,v,a,phi
0.000000000000000000e+00,-1.410555216100765952e+00,3.643648035439007948e+00,-3.162947483699448115e-01,0.000000000000000000e+00,6.655025482439760331e-01,0.000000000000000000e+00
5.000000000000000278e-02,-1.410555216100765952e+00,3.643648035439007948e+00,-3.162947483699448115e-01,3.327512741219880443e-02,6.431666059176885941e-01,1.109970732703492984e-03
1.000000000000000056e-01,-1.408973991283795746e+00,3.643130528589833439e+00,-3.162926964570157984e-01,6.543345770808323136e-02,5.823258597325176034e-01,3.212195420759500313e-03
1.500000000000000222e-01,-1.405864609450671265e+00,3.642112890105437373e+00,-3.162810194694531396e-01,9.454975069470911153e-02,5.296606131490957381e-01,4.496205267959879626e-03
2.000000000000000111e-01,-1.401371611358498637e+00,3.640642479776715401e+00,-3.162574018054603586e-01,1.210327813521639012e-01,4.814147365893259312e-01,5.846110633423317118e-03
2.500000000000000000e-01,-1.395620096893962714e+00,3.638760348864999550e+00,-3.162180918559573950e-01,1.451035181816301978e-01,4.500050064349249701e-01,1.434245284254866614e-03
2.999999999999999889e-01,-1.388724645022119786e+00,3.636504174901225017e+00,-3.162065299571028554e-01,1.676037685033764379e-01,4.108013900881334335e-01,5.316525433766185194e-04
3.499999999999999778e-01,-1.380759930549898984e+00,3.633898242934091360e+00,-3.162015795694250730e-01,1.881438380077831152e-01,3.745772451308561068e-01,2.824723083907738300e-04
3.999999999999999667e-01,-1.371819115018552360e+00,3.630972994724933844e+00,-3.161986270457781134e-01,2.068727002643259150e-01,3.408925687259728998e-01,-5.780201903125519033e-04
4.499999999999999556e-01,-1.361988272521431620e+00,3.627756580404072562e+00,-3.162052701908277808e-01,2.239173287006245572e-01,3.055652061734313585e-01,-2.357127270404748599e-03
4.999999999999999445e-01,-1.351347471664164690e+00,3.624275089007121142e+00,-3.162345925585664519e-01,2.391955890092961334e-01,2.834393994120243399e-01,-1.510488266944120389e-03
5.499999999999999334e-01,-1.339980739916149632e+00,3.620555716227682908e+00,-3.162546649144266087e-01,2.533675589798973782e-01,2.533396785297855613e-01,-3.311389780458405020e-03
5.999999999999999778e-01,-1.327940625914181716e+00,3.616615734669579307e+00,-3.163012761262123940e-01,2.660345429063866729e-01,2.308526843290746589e-01,-3.253326770469089531e-03
6.500000000000000222e-01,-1.315298765298950068e+00,3.612478186454322060e+00,-3.163493594792031183e-01,2.775771771228404128e-01,2.104033815427626408e-01,-3.655408332484752151e-03
7.000000000000000666e-01,-1.302108610676304234e+00,3.608160485193303124e+00,-3.164057296150629139e-01,2.880973461999785656e-01,1.917832962214571779e-01,-4.044029623607978824e-03
7.500000000000001110e-01,-1.288418802111134021e+00,3.603678371443333361e+00,-3.164704563124980941e-01,2.976865110110514245e-01,1.748310237951757884e-01,-4.439706107593288306e-03
8.000000000000001554e-01,-1.274273635448422093e+00,3.599046157374560906e+00,-3.165438812738740615e-01,3.064280622008102029e-01,1.593987107515527635e-01,-4.941936488654961185e-03
8.500000000000001998e-01,-1.259713446741173914e+00,3.594276849451006228e+00,-3.166280124044314470e-01,3.143979977383878355e-01,1.453689931884679098e-01,-6.721193528127146488e-03
9.000000000000002442e-01,-1.244774971538096020e+00,3.589382239041402745e+00,-3.167454102715453468e-01,3.216664473978112504e-01,1.325759156590429755e-01,-7.340345116670137816e-03
9.500000000000002887e-01,-1.229491727323392514e+00,3.584372677710552235e+00,-3.168765872239850956e-01,3.282952431807634186e-01,1.209213703717261362e-01,-7.726791035784222154e-03
1.000000000000000222e+00,-1.213894201880894474e+00,3.579257834916446779e+00,-3.170175160698630590e-01,3.343413116993497192e-01,1.103159525469070701e-01,-8.331040531441935224e-03
1.050000000000000266e+00,-1.198010157962004163e+00,3.574046555749594400e+00,-3.171722647066699263e-01,3.398571093266950505e-01,1.006610981376958591e-01,-8.626950208662546860e-03
1.100000000000000311e+00,-1.181864886877152410e+00,3.568746804953907059e+00,-3.173351537676687428e-01,3.448901642335798212e-01,9.188745451072725945e-02,-8.918331446123455714e-03
1.150000000000000355e+00,-1.165481391474084027e+00,3.563365899654582503e+00,-3.175060385647346939e-01,3.494845369591161877e-01,8.397051541517022710e-02,-1.097665199787470000e-02
