time,x,y,yaw,v,a,phi
0.000000000000000000e+00,-3.527094921186186838e+00,1.853713316498392105e+00,-5.139047053400256360e-01,0.000000000000000000e+00,1.116752490181927016e+00,0.000000000000000000e+00
5.000000000000000278e-02,-3.527094921186186838e+00,1.853713316498392105e+00,-5.139047053400256360e-01,5.583762450909635078e-02,1.627032335773729965e+00,2.097435626566850758e-02
1.000000000000000056e-01,-3.524663662593535474e+00,1.852340879821271269e+00,-5.138396314511497476e-01,1.371892412977828712e-01,2.146346245138544884e+00,-3.732757865811489086e-03
1.500000000000000222e-01,-3.518690006366334000e+00,1.848969285080074076e+00,-5.138680812621492233e-01,2.445065535547101265e-01,2.394871348087521223e+00,9.092667785337787967e-02
2.000000000000000111e-01,-3.508043583742695759e+00,1.842959932190877836e+00,-5.126295456358869185e-01,3.642501209590862099e-01,2.658513304975492986e+00,4.211274875133524942e-02
2.500000000000000000e-01,-3.492172153153477954e+00,1.834027235644010601e+00,-5.117768429456082124e-01,4.971757862078608481e-01,2.634444204920211252e+00,3.349044405490662901e-02
2.999999999999999889e-01,-3.470498378422014252e+00,1.821853210226414665e+00,-5.108514615111245938e-01,6.288979964538714551e-01,2.401955070132919090e+00,3.040706485581867735e-02
3.499999999999999778e-01,-3.443068095271871076e+00,1.806479164201954646e+00,-5.097887482905247847e-01,7.489957499605174318e-01,2.189509023149427414e+00,2.991817162600392266e-02
3.999999999999999667e-01,-3.410380137517704746e+00,1.788203935023934932e+00,-5.085434554160226384e-01,8.584712011179888025e-01,1.996191817520352130e+00,3.336655770855484482e-02
4.499999999999999556e-01,-3.372888355098586199e+00,1.767304215913145793e+00,-5.069515185414623648e-01,9.582807919940063979e-01,1.819287601837433765e+00,3.650259417236709908e-02
4.999999999999999445e-01,-3.331000528975984309e+00,1.744041257943783840e+00,-5.050073363601512710e-01,1.049245172085877975e+00,1.658576626000678900e+00,3.683273992057972679e-02
5.499999999999999334e-01,-3.285087085584782240e+00,1.718659290056587130e+00,-5.028593329901529518e-01,1.132174003385912009e+00,1.512013163872299337e+00,3.647719951966590934e-02
